Date,Description,Amount,Type,Balance
2024-01-15,GROCERY STORE PURCHASE,-85.50,Debit,2450.75
2024-01-16,SALARY DEPOSIT,3500.00,Credit,5950.75
2024-01-17,RESTAURANT DINNER,-45.25,Debit,5905.50
2024-01-18,GAS STATION FUEL,-65.00,Debit,5840.50
2024-01-19,ONLINE SHOPPING AMAZON,-120.99,Debit,5719.51
2024-01-20,ELECTRIC BILL PAYMENT,-89.45,Debit,5630.06
2024-01-21,COFFEE SHOP PURCHASE,-12.75,Debit,5617.31
2024-01-22,ATM WITHDRAWAL,-100.00,Debit,5517.31
2024-01-23,PHARMACY PRESCRIPTION,-35.60,Debit,5481.71
2024-01-24,MOVIE THEATER TICKETS,-28.50,Debit,5453.21
2024-01-25,UBER RIDE,-18.75,Debit,5434.46
2024-01-26,GROCERY STORE PURCHASE,-92.30,Debit,5342.16
2024-01-27,FREELANCE PAYMENT,750.00,Credit,6092.16
2024-01-28,INTERNET BILL PAYMENT,-59.99,Debit,6032.17
2024-01-29,RESTAURANT LUNCH,-22.40,Debit,6009.77
2024-01-30,CLOTHING STORE PURCHASE,-156.80,Debit,5852.97
